case,wavelengths,backend,best_s,mean_s,speedup,max_abs,max_rel,cuda_gb
UV,1000,NumPy,0.0700,0.1341,1.00,0.000e+00,0.000e+00,
UV,1000,Torch CPU,0.1433,0.2771,0.49,5.781e-14,5.438e-12,
UV,1000,Torch CUDA,0.1162,0.1256,0.60,3.441e-12,3.239e-10,0.06
UV,10000,NumPy,0.5362,0.5459,1.00,0.000e+00,0.000e+00,
UV,10000,Torch CPU,1.0466,1.1806,0.51,1.171e-13,1.129e-11,
UV,10000,Torch CUDA,0.2016,0.2107,2.66,3.468e-12,3.254e-10,0.53
UV,50000,NumPy,3.0726,3.3567,1.00,0.000e+00,0.000e+00,
UV,50000,Torch CPU,6.0857,6.4402,0.50,1.171e-13,1.129e-11,
UV,50000,Torch CUDA,0.5577,0.5652,5.51,3.468e-12,3.254e-10,1.48
UV,200000,NumPy,14.7549,14.9580,1.00,0.000e+00,0.000e+00,
UV,200000,Torch CPU,25.5094,26.2097,0.58,1.171e-13,1.129e-11,
UV,200000,Torch CUDA,2.2216,2.3397,6.64,3.468e-12,3.254e-10,2.17
TIR,1000,NumPy,0.0371,0.0409,1.00,0.000e+00,0.000e+00,
TIR,1000,Torch CPU,0.0621,0.0629,0.60,1.594e-13,1.206e-12,
TIR,1000,Torch CUDA,0.0336,0.0355,1.10,1.853e-13,1.402e-12,0.04
TIR,10000,NumPy,0.3182,0.3258,1.00,0.000e+00,0.000e+00,
TIR,10000,Torch CPU,0.5945,0.6068,0.54,1.592e-13,1.205e-12,
TIR,10000,Torch CUDA,0.0861,0.0887,3.69,1.850e-13,1.401e-12,0.37
TIR,50000,NumPy,1.7545,1.8699,1.00,0.000e+00,0.000e+00,
TIR,50000,Torch CPU,5.1977,5.6975,0.34,1.592e-13,1.205e-12,
TIR,50000,Torch CUDA,0.2495,0.2508,7.03,1.850e-13,1.401e-12,1.80
TIR,200000,NumPy,8.5492,8.8973,1.00,0.000e+00,0.000e+00,
TIR,200000,Torch CPU,30.6450,31.0893,0.28,1.592e-13,1.205e-12,
TIR,200000,Torch CUDA,0.9694,0.9988,8.82,1.850e-13,1.401e-12,4.17
